State,2016,2017,2018,2019,2020
Abuja,26246.71416666667,41727.27272727273,41527.16,34062.916666666664,33653.333333333336
Adamawa,27349.803333333333,35554.545454545456,35681.94416666667,28297.69916666667,27650.0
Bauchi,25289.044166666663,34037.814545454545,34702.083333333336,32261.870833333334,33013.333333333336
Benue,22328.400833333333,30753.87186163268,36591.666666666664,32690.08666666667,32320.0
CrossRiver,26057.148333333334,35240.84818181818,32847.3025,31738.384166666667,31366.666666666668
Delta,29425.4375,36263.63636363636,34287.5,32271.785,32866.666666666664
Edo,28193.100833333334,39378.78818181818,38325.0,31733.333333333332,31583.333333333332
Gombe,27509.135833333334,33346.597272727275,34699.60166666666,26697.94583333333,26206.666666666668
Imo,22848.078333333335,30883.234545454543,32231.549166666664,32408.285,32683.333333333332
Kaduna,22050.701666666664,27259.631818181813,31083.333333333332,32148.7625,32528.333333333332
Katsina,16300.216666666667,23245.51272727273,24770.833333333332,24608.333333333332,24782.0
Kogi,20019.670000000002,23376.676363636365,26862.541666666668,30642.5275,31383.333333333332
Kwara,25301.236666666664,34145.483636363635,30625.0,34924.583333333336,34716.666666666664
Lagos,27626.928333333333,33961.49909090909,40483.333333333336,33398.0,33566.666666666664
Niger,21376.595833333336,28952.875454545454,29754.249166666665,30418.573416666666,31520.0
Ondo,25415.055833333332,28743.88,31900.0,32377.9875,32450.0
Oyo,24101.4375,32272.727272727272,25500.055833333332,25082.220833333336,25743.333333333332
Plateau,22943.235833333336,28918.219999999998,35025.0,27747.960000000003,27890.0
Taraba,26679.791666666668,33053.63636363636,25666.67583333333,26091.694166666668,26650.0
Yobe,25345.315000000002,27891.007272727275,30343.86333333333,29985.120833333334,31400.193333333333
Zamfara,22423.34,27811.017272727273,30537.615,31584.2,32495.0
