State,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,2016,2017,2018,2019,2020,percentage-change-16-18,percentage-change-18-20,percentage-change-16-20
Abia,580.56,408.73,416.96,535.42,463.1,503.33,560.33,428.57,450.65,593.09,407.14,628.57,593.33,683.33,775.0,850.0,1093.33,1100.55,1203.33," 	1,106.67 "," 	1,387.50 ",1362.5,1202.88,1556.82,1642.86,1576.67,1555.45,1600.0,1577.37,1577.3,1580.0,1592.86,1595.5,1507.14,1000.0,1371.88,1289.47,1303.85,1310.0,1320.0,1350.0,1350.0,1348.0,1350.0,1340.0,1350.0,1353.0,1400.0,1400.0,1395.0,1437.5,498.03749999999997,1042.107,1514.7524999999998,1338.6933333333334,1410.8333333333333,67.12086628013488,-7.365800354400466,64.69905493207325
Abuja,1600.0,1600.0,2500.0,2500.0,2500.0,5000.0,5000.0,4600.0,4675.0,4567.74,5000.0,5333.33,4960.0,4566.67,4500.0,4825.0,4833.33,4850.0,5000.0,4800.0," 	4,850.00 ",4650.0,4500.0,5019.23,5625.0,4333.33,4150.0,4000.0,4125.51,4150.0,4200.0,4600.0,4500.0,4666.67,4500.0,4633.33,4100.0,4000.0,4000.0,4050.0,4150.0,4155.0,4150.0,4155.0,4168.0,4170.0,4176.0,4200.0,4230.0,4235.0,4120.0,3739.6725,4770.423,4456.986666666667,4122.833333333333,4195.0,16.094151055720754,-6.245212554628527,10.85405244338498
Adamawa,1700.0,1703.57,2058.33,2058.33,1500.0,1500.0,1500.0,1450.0,1450.0,1450.0,1450.98,3500.0,3500.45,3350.0,3266.67,3500.0,3266.67,3000.0,3000.0,2733.33,2750.32,2500.0,2947.75,3242.86,3358.57,3250.0,3000.0,3200.0,3166.53,3200.0,3200.0,3428.57,3430.0,2328.57,2500.0,2275.0,2290.0,2385.71,2406.67,2400.0,2500.0,2500.0,2550.0,2530.0,2537.0,2540.0,2543.0,2546.0,2547.0,2545.0,2500.0,1776.7675,3157.44,3028.103333333333,2477.3650000000002,2530.6666666666665,41.32407964941751,-19.6563487881981,29.790536090621707
AkwaIbom,666.67,625.0,666.67,633.33,800.0,725.0,830.0,775.0,1133.33,718.29,830.0,1133.33,900.0,875.0,892.0,1000.0,1010.09,1020.55,1192.86,1080.0," 	1,091.25 ",1078.57,1065.89,1666.67,1685.71,1500.0,1450.0,1500.0,1488.97,1490.0,1495.0,1500.67,1500.85,1350.65,1200.0,1257.14,1212.5,1228.33,1200.0,1240.0,1311.11,1310.0,1315.0,1345.0,1340.0,1345.0,1347.0,1350.0,1355.0,1350.0,1343.75,794.7183333333334,1070.163,1451.5825000000002,1295.3283333333331,1349.5833333333333,45.25159036201296,-7.557826489657324,41.11380055572707
Anambra,566.67,510.42,520.0,659.09,560.42,589.58,550.0,630.0,900.0,811.63,806.25,1100.0,900.0,859.09,1009.09,1363.64,1287.5,1298.77,1309.29,1216.67," 	1,227.50 ",1268.0,1280.78,1431.97,1486.67,1466.86,1142.67,1200.0,1171.33,1200.0,1150.0,1200.14,1200.0,1440.0,1400.0,1511.11,1495.0,1467.85,1442.86,1440.0,1433.33,1439.0,1440.0,1443.0,1450.0,1454.0,1455.0,1458.0,1460.0,1464.0,1460.0,683.6716666666667,1200.8129999999999,1297.3983333333333,1451.5033333333333,1461.3333333333333,47.3044130625521,11.218179744525544,53.21589872262773
Bauchi,780.23,712.5,850.0,887.5,641.67,775.0,850.0,875.0,850.67,802.09,725.0,966.67,850.0,850.0,1000.0,1150.0,1083.33,1331.25,1340.0,1200.0,1250.78,1200.0,1257.14,1340.0,1407.14,1358.57,971.43,925.0,1065.54,1065.0,1060.0,1200.86,1150.0,1157.14,1200.0,966.67,958.33,1000.0,983.33,985.0,975.0,970.1,985.0,987.0,959.0,958.0,960.0,965.0,965.0,963.0,955.0,809.6941666666667,1140.172,1127.2791666666665,973.8133333333334,961.0,28.17270197045244,-17.30272285813387,15.744623655913978
Bayelsa,1000.0,1000.0,1000.0,1000.0,1275.0,1000.0,1016.67,1000.0,1000.0,1248.7,1000.0,1412.5,1157.14,1011.11,997.5,1071.43,1055.56,1150.0,1170.0,1066.67," 	1,100.00 ",1000.0,933.33,1082.57,1122.73,1216.67,1100.0,1150.0,1125.0,1150.0,1200.0,1320.0,1300.0,1233.33,1300.0,1055.56,1003.64,920.0,1000.33,1000.5,980.0,990.0,997.0,998.0,997.0,1000.0,998.0,1000.0,1000.0,1030.0,1050.5,1079.4058333333335,1062.864,1189.4408333333333,990.3725,1026.8333333333333,9.250985582160794,-15.835822106800851,-5.119866904723281
Benue,2000.0,2000.0,2000.0,2000.0,1875.0,1875.0,1875.0,1368.18,1571.43,1571.43,2000.0,2200.0,1650.0,1881.82,2150.57,2175.89,2244.44,2210.16722222222,2245.83,2240.0," 	2,235.71 ",2220.0,2410.0,2803.85,2871.43,2569.23,1943.75,2100.0,2000.88,2000.0,2000.0,2100.0,2050.0,2400.0,2350.0,2228.57,1937.5,1957.14,1922.5,1930.0,2050.0,2050.0,2100.0,2070.0,2050.0,2065.0,2060.0,2100.0,2140.0,2140.0,2125.0,1861.3366666666668,2199.2567222222215,2217.8216666666667,2024.345,2135.0,16.07365485502666,-3.8792349726775974,12.817954722872749
Borno,1500.0,1500.0,1500.0,1500.0,1500.0,1750.0,1500.0,1587.5,1500.0,1500.0,1500.0,2000.0,2100.0,2333.33,2562.5,2563.64,2366.67,2465.15,2463.64,2290.0," 	2,300.00 ",2244.62,2338.46,2975.0,3000.0,2700.0,2500.0,2600.0,2744.44,2750.0,2700.0,2760.0,2790.0,2800.0,2850.0,2500.0,2150.0,2300.0,2536.3,2550.0,2445.45,2500.0,2480.0,2460.0,2455.0,2460.0,2465.0,2500.0,2500.0,2550.0,2600.0,1569.7916666666667,2441.301,2724.536666666667,2441.8125,2550.0,42.38316973772911,-6.8445751633987,38.43954248366013
CrossRiver,1133.75,1400.0,1195.83,1370.0,1200.0,1200.0,1200.0,1200.0,1480.36,1317.79,1316.29,1364.29,1180.0,1316.67,1229.17,1393.33,1396.67,1308.33,1332.35,1292.11," 	1,366.67 ",1247.62,1230.77,1284.62,1307.5,1261.11,1245.0,1265.0,1269.65,1270.0,1290.0,1400.0,1400.0,1315.79,1350.0,1420.0,1386.67,1397.22,1368.75,1370.0,1368.42,1350.0,1365.0,1360.0,1370.0,1374.0,1375.0,1380.0,1390.0,1395.0,1371.05,1281.5258333333334,1291.953,1316.1708333333333,1372.0883333333334,1385.3500000000001,2.6322570841551074,4.993623753323476,7.494435822475674
