State,2016,2017,2018,2019,2020
Abia,97.97250000000001,125.904,220.05083333333334,139.28166666666667,149.53333333333333
Abuja,119.30666666666667,276.954,360.45250000000004,287.495,317.5
Adamawa,94.79833333333333,177.13299999999998,204.1916666666667,247.36083333333332,239.0
AkwaIbom,123.45916666666666,152.307,209.505,224.95833333333334,243.33333333333334
Anambra,76.45166666666667,90.99100000000001,101.16083333333331,136.51166666666666,151.22333333333333
Bauchi,73.15166666666667,88.3,93.68833333333333,99.52833333333335,104.0
Bayelsa,135.59833333333333,148.26100000000002,167.5,192.27416666666667,225.0
Benue,76.26666666666667,138.053,204.53333333333333,165.89916666666667,180.44333333333336
Borno,53.2175,68.384,128.42583333333332,155.36083333333332,164.66666666666666
CrossRiver,188.12749999999997,220.77399999999997,297.64166666666665,301.585,304.7866666666667
Delta,127.26416666666667,127.80999999999999,141.92333333333335,152.76166666666666,172.33333333333334
Ebonyi,108.06833333333333,179.984,211.89583333333334,183.66666666666666,191.33333333333334
Edo,112.75,163.077,202.7733333333333,171.20000000000002,181.36333333333334
Ekiti,104.81499999999998,180.17,217.4825,212.2458333333333,240.4766666666667
Enugu,79.37750000000001,88.094,136.98416666666665,147.545,171.64
Gombe,64.22416666666666,102.53399999999999,147.74916666666667,148.48666666666668,165.33333333333334
Imo,94.74333333333334,124.76199999999999,150.39416666666668,146.13833333333335,160.34666666666666
Jigawa,115.02666666666669,155.784,148.01833333333335,152.39166666666668,166.66666666666666
Kaduna,115.36416666666666,138.502,162.40083333333334,173.9141666666667,191.78666666666666
Kano,95.17166666666667,150.506,188.26416666666668,170.46083333333334,192.0
Katsina,133.72416666666666,125.43300000000002,186.89333333333335,196.16666666666666,208.95000000000002
Kebbi,62.82500000000001,111.03000000000002,235.165,252.9125,273.6666666666667
Kogi,54.56833333333333,115.19199999999998,166.63750000000002,202.025,249.33333333333334
Kwara,96.10916666666667,145.294,148.29916666666668,151.34833333333333,155.66666666666666
Lagos,141.57583333333335,156.274,220.45583333333335,247.0175,275.3066666666667
Nassarawa,111.82999999999998,154.84300000000002,242.57833333333335,236.5725,266.0
Niger,99.0,113.638,140.2525,157.085,174.33333333333334
Ogun,117.27916666666665,129.75500000000002,162.75333333333333,160.35416666666666,170.86666666666667
Ondo,93.13083333333333,112.796,154.63,170.2475,185.46666666666667
Osun,88.93833333333332,110.296,151.455,162.01666666666668,176.41666666666666
Oyo,94.78250000000001,156.96999999999997,167.20666666666668,184.72916666666666,201.18666666666664
Plateau,92.7925,98.55199999999999,135.45333333333335,183.93999999999997,229.66666666666666
Rivers,105.51583333333333,110.917,115.76999999999998,142.77833333333334,153.0
Sokoto,64.68416666666666,102.78299999999999,134.3175,135.18,144.33333333333334
Taraba,60.2925,103.21900000000001,156.83583333333334,202.75,249.89000000000001
Yobe,55.9425,84.304,158.48083333333332,151.74666666666667,166.66666666666666
Zamfara,60.23250000000001,105.18299999999999,186.67833333333337,312.55,343.7133333333333
