State,2016,2017,2018,2019,2020
Abia,121.11083333333335,145.50600000000003,143.80333333333337,136.19833333333335,140.06
Abuja,65.88583333333334,81.76700000000001,68.81916666666666,91.26333333333332,106.33333333333333
Adamawa,68.615,71.648,65.50333333333333,55.08583333333333,58.666666666666664
AkwaIbom,162.36083333333335,159.06900000000002,124.35666666666667,96.105,100.06
Anambra,87.80583333333334,101.42299999999999,136.78833333333333,96.96,101.95333333333333
Bauchi,69.29,61.565,69.75833333333334,88.40083333333332,98.16666666666667
Bayelsa,128.14583333333334,170.148,170.05916666666667,172.65166666666667,195.0
Benue,90.77083333333331,97.232,88.23750000000001,100.08749999999999,108.55666666666667
Borno,62.315,68.93599999999999,73.33333333333333,95.69666666666667,111.0
CrossRiver,130.98499999999999,139.07799999999997,134.26166666666666,123.22333333333334,141.01666666666668
Delta,80.71166666666666,73.77399999999999,88.24166666666667,75.84333333333333,88.66666666666667
Ebonyi,89.78916666666665,131.46200000000002,169.9958333333333,178.41583333333332,187.55666666666664
Edo,126.375,154.563,173.64499999999998,171.0975,181.0
Ekiti,61.73833333333334,55.403,72.6,85.32333333333334,97.27666666666666
Enugu,116.30333333333334,133.004,160.27916666666667,153.7425,163.16666666666666
Gombe,76.48833333333333,74.269,78.02916666666667,79.015,94.33333333333333
Imo,117.08333333333331,138.506,165.44583333333333,167.065,184.0
Jigawa,72.265,69.681,62.83083333333334,59.55083333333334,72.22333333333334
Kaduna,65.22833333333334,71.44500000000001,79.8875,79.76916666666666,93.21
Kano,75.1675,90.123,71.88666666666667,77.76666666666667,86.0
Katsina,55.30833333333334,60.434000000000005,62.66,62.134166666666665,65.37666666666667
Kebbi,60.26750000000001,63.407999999999994,70.01833333333333,62.66583333333333,72.66666666666667
Kogi,71.22916666666667,98.53299999999999,123.75916666666667,189.11333333333334,233.70333333333335
Kwara,61.37083333333334,69.53399999999999,119.22500000000001,170.8033333333333,185.6
Lagos,100.04833333333333,122.72,133.2575,176.55083333333334,205.0
Nassarawa,65.75333333333333,80.882,121.28249999999998,132.3275,142.39
Niger,56.04916666666666,55.903000000000006,67.41666666666667,79.76666666666667,94.85333333333334
Ogun,78.11999999999999,110.38499999999999,175.42,183.20749999999998,199.5
Ondo,103.23916666666666,133.43,194.28666666666666,188.05499999999998,197.60333333333332
Osun,105.14666666666666,116.3,132.0,163.93499999999997,168.37333333333333
Oyo,70.81166666666667,71.684,75.27916666666665,71.83666666666666,84.0
Plateau,59.11916666666667,67.046,79.09666666666666,85.33999999999999,99.0
Rivers,156.21749999999997,178.624,187.37,199.45333333333335,256.05
Sokoto,75.90666666666665,97.878,93.03166666666665,85.43916666666667,93.04666666666667
Taraba,78.13083333333334,111.57000000000001,144.7875,172.8983333333333,185.36333333333334
Yobe,51.1975,85.164,126.90416666666665,153.04166666666666,179.83333333333334
Zamfara,62.89333333333334,61.14300000000001,74.47833333333334,66.82583333333334,85.48
