State,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,2016,2017,2018,2019,2020,percentage-change-16-18,percentage-change-18-20,percentage-change-16-20
Abia,350.23,352.05,353.88,355.72,357.57,359.43,361.3,363.18,365.07,366.97,368.87,370.79,371.16,371.26,340.34,350.0,330.33,340.16,340.25, 	325.13 , 	320.00 ,320.0,329.2,343.89,350.0,350.0,320.0,340.0,336.67,340.0,340.0,338.8,335.0,350.0,350.0,350.0,325.55,340.33,332.94,335.0,333.412731033407,255.0,280.0,270.0,275.0,275.0,278.0,280.0,280.0,284.0,280.0,360.4216666666667,343.659,341.7058333333334,298.3527275861173,281.3333333333333,-5.477177006538267,-21.459419431279645,-28.11196682464456
Abuja,160.43,160.77,161.1,161.44,161.78,162.12,162.46,162.8,150.0,150.0,150.32,250.63,220.55,220.76,220.34,230.0,250.54,250.65,250.6,240.43, 	251.65 ,250.55,249.04,231.62,250.0,250.45,230.0,243.48,241.11,240.0,240.0,241.53,250.0,200.0,220.0,220.0,215.37,221.07,218.22,220.0,218.655356835671,219.0,220.0,220.0,223.0,225.0,228.0,229.0,230.0,240.0,240.0,166.15416666666667,237.465,235.5475,221.44294640297258,236.66666666666666,29.460441453776138,0.47288732394365224,29.794014084507037
Adamawa,350.66,351.4,325.0,325.68,326.37,327.05,327.74,328.43,329.12,482.81,483.83,484.84,420.55,422.55,400.13,420.55,410.76,415.86,420.0,418.77,433.2,430.0,421.24,400.0,450.0,450.0,400.0,420.0,423.54,435.0,430.0,432.48,435.0,400.0,420.0,420.0,415.85,425.53,420.69,410.0,450.0,450.0,480.0,450.0,465.0,470.0,475.0,479.0,480.0,482.0,480.0,370.2441666666666,416.16400000000004,426.33500000000004,449.2558333333333,480.6666666666667,13.156516198138416,11.303398058252423,22.972780859916796
AkwaIbom,850.0,1100.0,1200.0,1400.0,1500.0,850.0,1000.0,1200.0,1202.52,1046.84,1000.0,1500.0,1350.0,1350.0,1500.0,1550.0,1400.0,1466.67,1500.0,1350.0," 	1,450.00 ",1350.0,1406.4,1500.0,1566.67,1400.0,900.0,1100.0,1027.78,1030.0,1030.0,1100.0,1100.0,1066.67,1050.0,966.67,955.0,866.67,816.66,815.0,850.0,850.0,840.0,820.0,830.0,825.0,826.0,830.0,820.0,815.0,833.33,1154.1133333333335,1437.307,1111.4825,843.6941666666667,822.7766666666666,-3.8354929864692773,-35.089210113720625,-40.270547293109125
Anambra,400.21,401.05,401.89,402.74,403.58,404.43,405.28,406.13,406.98,481.37,482.38,483.39,464.36,464.56,440.89,450.0,425.11,437.76,440.0,420.33, 	425.00 ,420.0,431.04,444.48,450.0,450.0,400.0,383.33,391.66,390.0,390.0,413.63,410.95,400.0,400.0,400.0,398.26,401.84,400.05,400.0,400.04,400.0,385.0,387.0,385.0,388.0,389.0,394.0,395.0,398.0,395.5,423.28583333333336,441.82,406.6308333333333,394.0158333333333,396.1666666666667,-4.095852708332914,-2.641354648716864,-6.8453933529659245
Bauchi,389.23,390.05,390.87,391.69,392.51,393.33,394.16,394.99,350.0,481.37,400.0,480.84,410.08,420.08,415.67,420.0,400.32,410.16,410.0,400.87,402.5,400.75,406.31,413.19,420.0,420.0,400.0,430.0,417.5,420.0,400.0,400.0,410.0,400.0,400.0,400.0,395.26,408.67,401.97,400.0,401.45,400.0,405.0,402.0,400.0,450.0,432.0,433.0,450.0,450.0,450.0,404.08666666666664,410.65599999999995,409.7916666666667,410.7791666666667,450.0,1.392170818505348,8.935185185185182,10.202962962962967
Bayelsa,2008.33,1891.67,1845.0,2005.0,1832.14,1616.67,1775.0,1780.0,1783.74,1965.26,2265.76,2565.26,2228.57,1933.33,2128.57,2133.33,2175.0,2189.0,2244.44,2177.78," 	2,187.50 ",2000.0,2150.0,1822.22,1962.5,1840.0,1916.67,1950.0,1933.33,1950.0,2000.0,2133.33,2150.0,2125.0,2150.0,2255.0,1950.32,1925.5,1900.0,1900.0,1816.67,1800.0,1800.0,1830.0,1820.0,1850.0,1840.0,1847.0,1850.0,1870.0,1822.22,1944.4858333333334,2100.446,2030.4858333333334,1856.6241666666665,1847.4066666666668,4.235439547924286,-9.91006311550245,-5.254888835159917
Benue,300.0,300.0,300.0,500.0,425.0,350.0,350.0,350.0,425.0,392.39,450.0,600.0,500.0,485.0,500.0,520.0,525.76,500.0,525.0,500.0, 	510.00 ,485.0,450.0,400.0,450.0,385.0,355.0,370.0,362.5,360.0,360.0,375.0,370.0,350.0,350.0,475.0,425.0,466.67,483.33,485.0,475.0,476.0,475.0,477.0,473.0,475.0,477.0,480.0,480.0,483.0,450.0,395.1991666666666,489.076,380.2083333333333,472.3333333333333,471.0,-3.942794520547933,19.27636234961076,16.093595187544246
Borno,100.65,106.41,102.17,111.73,108.7,117.31,114.14,123.18,114.92,110.34,120.67,126.7,117.17,117.89,136.15,137.0,150.0,143.5,143.0,145.0, 	151.32 ,150.0,145.61,150.0,152.0,152.0,150.0,140.0,144.5,145.0,150.0,150.0,140.0,100.0,110.0,115.0,112.59,120.0,120.0,125.0,125.0,120.0,130.0,135.0,135.0,132.0,132.0,135.0,135.0,135.0,130.0,113.07666666666667,139.032,137.375,126.79916666666668,133.33333333333334,17.687594783136184,-3.0312499999999925,15.192500000000006
CrossRiver,1500.0,1500.0,1500.0,1500.0,1375.0,1500.0,1350.0,1425.0,1587.5,1658.33,1865.83,2216.67,1750.89,1700.0,1500.77,1650.0,1650.0,1655.0,1627.78,1537.5," 	1,560.00 ",1410.0,1345.71,1833.33,1877.78,1183.33,1050.0,1120.0,1200.8,1200.0,1200.0,1270.67,1270.0,1050.0,1100.0,970.0,985.71,960.0,935.71,938.0,960.0,960.0,945.0,947.0,945.0,946.0,947.0,950.0,970.0,970.0,950.0,1581.5275000000001,1612.3479999999997,1207.715,951.6183333333333,963.3333333333334,-30.95204580550877,-25.368339100346006,-64.17240484429067
